"term","in_EOPE","in_LOPE_male","class"
"endocrine hormone secretion",TRUE,FALSE,"EOPE-specific"
"response to decreased oxygen levels",TRUE,FALSE,"EOPE-specific"
"response to hypoxia",TRUE,FALSE,"EOPE-specific"
"response to oxygen levels",TRUE,FALSE,"EOPE-specific"
"endocrine process",TRUE,FALSE,"EOPE-specific"
"female gonad development",TRUE,FALSE,"EOPE-specific"
"development of primary female sexual characteristics",TRUE,FALSE,"EOPE-specific"
"female sex differentiation",TRUE,FALSE,"EOPE-specific"
"regulation of endocrine process",TRUE,FALSE,"EOPE-specific"
"ovarian follicle development",TRUE,FALSE,"EOPE-specific"
"chemotaxis",TRUE,FALSE,"EOPE-specific"
"taxis",TRUE,FALSE,"EOPE-specific"
"negative regulation of leukocyte differentiation",TRUE,FALSE,"EOPE-specific"
"ovulation cycle",TRUE,FALSE,"EOPE-specific"
"gonadotropin secretion",TRUE,FALSE,"EOPE-specific"
"reproductive structure development",TRUE,FALSE,"EOPE-specific"
"negative regulation of hemopoiesis",TRUE,FALSE,"EOPE-specific"
"cellular response to hypoxia",TRUE,FALSE,"EOPE-specific"
"reproductive system development",TRUE,FALSE,"EOPE-specific"
"endothelial cell proliferation",TRUE,FALSE,"EOPE-specific"
"negative regulation of myeloid leukocyte differentiation",TRUE,FALSE,"EOPE-specific"
"cellular response to decreased oxygen levels",TRUE,FALSE,"EOPE-specific"
"hormone transport",TRUE,FALSE,"EOPE-specific"
"cell chemotaxis",TRUE,FALSE,"EOPE-specific"
"regulation of phosphorylation",TRUE,FALSE,"EOPE-specific"
"negative regulation of cellular response to growth factor stimulus",TRUE,FALSE,"EOPE-specific"
"negative regulation of myeloid cell differentiation",TRUE,FALSE,"EOPE-specific"
"gonad development",TRUE,FALSE,"EOPE-specific"
"carboxylic acid transport",TRUE,FALSE,"EOPE-specific"
"negative regulation of cell development",TRUE,FALSE,"EOPE-specific"
"organic acid transport",TRUE,FALSE,"EOPE-specific"
"negative regulation of BMP signaling pathway",TRUE,FALSE,"EOPE-specific"
"monocarboxylic acid transport",TRUE,FALSE,"EOPE-specific"
"cellular response to oxygen levels",TRUE,FALSE,"EOPE-specific"
"development of primary sexual characteristics",TRUE,FALSE,"EOPE-specific"
"hormone secretion",TRUE,FALSE,"EOPE-specific"
"sex differentiation",TRUE,FALSE,"EOPE-specific"
"gland morphogenesis",FALSE,TRUE,"LOPE-specific"
"membrane repolarization",FALSE,TRUE,"LOPE-specific"
"estrous cycle",FALSE,TRUE,"LOPE-specific"
"positive regulation of smooth muscle cell migration",FALSE,TRUE,"LOPE-specific"
"regulation of membrane repolarization",FALSE,TRUE,"LOPE-specific"
